Año,Trimestre,Provincia,+ 30 Mbps,OTROS,Total,hasta 1 mbps,1 mbps - 10 mbps,10 Mbps - 30 Mbps,indice
2020,1,Tierra Del Fuego,518,7046.0,37606,120,28000,3794,286
2020,1,Tucumán,67536,0.0,200449,1490,99938,31269,287
2019,4,Buenos Aires,1465133,20676.0,3686254,61026,1439743,292363,288
2019,4,Capital Federal,753805,0.0,1358105,3220,287316,131433,289
2019,4,Catamarca,7477,3098.0,38311,630,17564,17345,290
2019,4,Chaco,21556,6988.0,117903,830,44858,44418,291
2019,4,Chubut,614,4121.0,96102,1620,82350,7739,292
2019,4,Córdoba,221742,1035.0,806688,1420,351013,125044,293
2019,4,Corrientes,15744,4995.0,113834,720,37117,37348,294
2019,4,Entre Ríos,30153,14178.0,239030,470,132714,61938,295
2019,4,Formosa,5671,2430.0,46711,3037,30925,8554,296
2019,4,Jujuy,5286,14122.0,88881,550,42552,27784,297
2019,4,La Pampa,1342,1566.0,90399,6060,76816,3238,298
2019,4,La Rioja,1305,0.0,49002,210,42891,4983,299
2019,4,Mendoza,2628,6901.0,185780,7550,158094,17402,300
2019,4,Misiones,20799,11508.0,135813,710,41748,42931,301
2019,4,Neuquén,35001,0.0,116445,2190,61809,19416,302
2019,4,Río Negro,19837,17019.0,127140,1140,74644,15526,303
2019,4,Salta,25821,712.0,172445,1500,109815,16786,304
2019,4,San Juan,127,1246.0,64974,490,62220,1692,305
2019,4,San Luis,3,36287.0,108201,1050,16065,60466,306
2019,4,Santa Cruz,8,3500.0,39370,670,36714,2294,307
2019,4,Santa Fe,135576,27472.0,769169,6980,420898,184525,308
2019,4,Santiago Del Estero,2449,5017.0,103588,10410,91220,4806,309
2019,4,Tierra Del Fuego,1962,7789.0,40392,110,24098,3238,310
2019,4,Tucumán,56707,0.0,198644,550,106561,35321,311
2019,3,Buenos Aires,1246209,42294.0,3971683,68540,1655534,744078,312
2019,3,Capital Federal,655108,0.0,1442810,4720,390628,396602,313
2019,3,Catamarca,15,2151.0,32382,770,23734,7053,314
2019,3,Chaco,16740,6917.0,112227,1906,60962,26323,315
2019,3,Chubut,614,45.0,90152,9140,75713,7295,316
2019,3,Córdoba,157546,7353.0,782341,6654,346802,264733,317
2019,3,Corrientes,12674,478.0,110656,6070,71859,20736,318
2019,3,Entre Ríos,22645,15107.0,236314,4636,155817,38280,319
2019,3,Formosa,4443,1000.0,46373,3601,30992,9379,320
2019,3,Jujuy,3671,16545.0,88981,9120,32646,27395,321
2019,3,La Pampa,941,1618.0,90826,5659,81771,2970,322
2019,3,La Rioja,1307,0.0,49678,190,43443,5107,323
2019,3,Mendoza,349,0.0,222774,1479,209779,11356,324
2019,3,Misiones,16650,12206.0,131099,2398,72905,27363,325
2019,3,Neuquén,28458,1220.0,124898,2708,67495,26520,326
2019,3,Río Negro,15505,17719.0,144243,1704,89783,19955,327
2019,3,Salta,12357,7515.0,151938,9490,49383,25727,328
2019,3,San Juan,128,4779.0,76968,1930,70560,1677,329
2019,3,San Luis,5,36075.0,122702,1570,23756,66912,330
2019,3,Santa Cruz,4,0.0,37430,1120,36084,1473,331
2019,3,Santa Fe,97082,19537.0,752576,14584,435740,191393,332
2019,3,Santiago Del Estero,1836,34501.0,132632,2222,90726,4472,333
2019,3,Tierra Del Fuego,226,9648.0,48557,200,36825,2576,334
2019,3,Tucumán,20385,0.0,164444,1260,118736,32784,335
2019,2,Buenos Aires,985767,43438.0,3870807,246620,1654044,940938,336
2019,2,Capital Federal,475991,0.0,1418395,1767,405457,535846,337
2019,2,Catamarca,10,2151.0,33622,770,17498,6389,338
2019,2,Chaco,9904,1492.0,109904,2073,64919,32137,339
2019,2,Chubut,165,45.0,89333,4612,79081,2235,340
2019,2,Córdoba,76053,8938.0,769793,8975,348939,327617,341
2019,2,Corrientes,7119,608.0,109461,3112,68198,25042,342
2019,2,Entre Ríos,10664,17206.0,234213,6085,153003,47417,343
2019,2,Formosa,2258,1000.0,46751,3601,31911,11023,344
2019,2,Jujuy,2600,21765.0,86733,9670,34674,537,345
2019,2,La Pampa,629,2661.0,90223,5649,80597,2811,346
2019,2,La Rioja,1298,0.0,50304,200,44116,4987,347
2019,2,Mendoza,234,0.0,222260,2722,208136,11348,348
2019,2,Misiones,8129,12206.0,130052,2696,73154,34290,349
2019,2,Neuquén,14132,4220.0,122886,6058,66464,19439,350
2019,2,Río Negro,6907,18519.0,138429,5194,88567,22698,351
2019,2,Salta,6461,7585.0,142650,10230,96561,31020,352
2019,2,San Juan,4,6119.0,70240,2350,63090,7920,353
2019,2,San Luis,5,37977.0,117383,1590,21539,61906,354
2019,2,Santa Cruz,4,0.0,30010,1090,28667,1482,355
2019,2,Santa Fe,49865,22323.0,736108,11637,425300,229872,356
2019,2,Santiago Del Estero,1205,34501.0,126056,2222,84630,4821,357
2019,2,Tierra Del Fuego,32,0.0,47895,1290,46065,2533,358
2019,2,Tucumán,18394,0.0,166673,1730,123187,30571,359
2019,1,Buenos Aires,705769,6369.0,3732709,234809,1632475,1153287,360
2019,1,Capital Federal,283463,0.0,1401583,8157,414794,695835,361
2019,1,Catamarca,7,2151.0,34739,2048,25204,5896,362
2019,1,Chaco,6368,1035.0,106982,4491,64351,31358,363
2019,1,Chubut,165,0.0,82678,4598,77648,8610,364
2019,1,Córdoba,50716,6806.0,746418,21213,339766,328646,365
